date,cdr_close,cdr_volume,cdr_ret,is_trading_day
2023-01-02,129.33999633789062,154161,,True
2023-01-03,129.0,442436,-0.002628702238419822,True
2023-01-04,127.5,448472,-0.011627906976744207,True
2023-01-05,132.55999755859375,553374,0.039686255361519596,True
2023-01-09,133.74000549316406,506013,0.008901689471205065,True
2023-01-10,138.16000366210938,340647,0.03304918489158615,True
2023-01-11,135.75999450683594,460254,-0.017371229673263544,True
2023-01-12,129.94000244140625,845556,-0.0428697134717152,True
2023-01-13,132.13999938964844,289523,0.01693086737653582,True
2023-01-16,128.82000732421875,280499,-0.025124807634059776,True
2023-01-17,129.39999389648438,246420,0.004502301966230249,True
2023-01-18,133.27999877929688,327117,0.029984583198020553,True
2023-01-19,132.5,299002,-0.005852331831038726,True
2023-01-20,132.52000427246094,191743,0.00015097564121457907,True
2023-01-23,135.6999969482422,258887,0.02399632186279743,True
2023-01-24,133.9199981689453,225860,-0.013117161527835486,True
2023-01-25,131.52000427246094,131581,-0.017921101622602187,True
2023-01-26,134.66000366210938,142428,0.02387469044742052,True
2023-01-27,133.89999389648438,123915,-0.005643916121761183,True
2023-01-30,132.8000030517578,321847,-0.008215017885489617,True
2023-01-31,139.32000732421875,674466,0.049096416586073444,True
2023-02-01,138.27999877929688,353195,-0.007464890110877032,True
2023-02-02,145.77999877929688,574696,0.054237778899394185,True
2023-02-03,146.8000030517578,471926,0.00699687392647852,True
2023-02-06,142.55999755859375,263532,-0.02888287060640693,True
2023-02-07,141.27999877929688,324216,-0.00897866723637375,True
2023-02-08,141.6999969482422,185104,0.002972806997269428,True
2023-02-09,141.47999572753906,143707,-0.0015525845126410642,True
2023-02-10,138.63999938964844,795935,-0.02007348334502257,True
2023-02-13,138.89999389648438,334401,0.0018753210327506764,True
2023-02-14,134.24000549316406,286175,-0.03354923403951471,True
2023-02-15,138.39999389648438,126874,0.03098918528822736,True
2023-02-16,139.52000427246094,145150,0.008092560876948207,True
2023-02-17,135.82000732421875,201949,-0.02651947272748545,True
2023-02-20,136.33999633789062,91629,0.0038285155767263657,True
2023-02-21,131.22000122070312,352516,-0.03755314107900254,True
2023-02-22,131.94000244140625,187685,0.005486977701609108,True
2023-02-23,134.5,180542,0.019402739966831728,True
2023-02-24,129.52000427246094,170550,-0.03702599053932387,True
2023-02-27,132.1199951171875,133393,0.020074048478698092,True
2023-02-28,132.39999389648438,207581,0.002119276337003484,True
2023-03-01,132.25999450683594,203936,-0.0010573972515277585,True
2023-03-02,130.8000030517578,201939,-0.011038798697384333,True
2023-03-03,130.66000366210938,235163,-0.0010703317001685697,True
2023-03-06,132.1999969482422,177401,0.011786263913747375,True
2023-03-07,133.4600067138672,169147,0.009531087705836327,True
2023-03-08,132.25999450683594,174683,-0.008991549128302023,True
2023-03-09,132.17999267578125,134126,-0.0006048830665160709,True
2023-03-10,128.6999969482422,187719,-0.026327704042736655,True
2023-03-13,127.08000183105469,412405,-0.012587374946395613,True
2023-03-14,130.0,412439,0.022977637133081652,True
2023-03-15,129.36000061035156,257203,-0.004923072228064873,True
2023-03-16,135.39999389648438,365862,0.04669135171331695,True
2023-03-17,131.0,530350,-0.03249626362500613,True
2023-03-20,130.72000122070312,192225,-0.002137395261808228,True
2023-03-21,116.45999908447266,1283726,-0.10908814261831568,True
2023-03-22,112.77999877929688,793652,-0.03159883508591255,True
2023-03-23,110.0,885634,-0.02464975003889791,True
2023-03-24,110.5999984741211,635854,0.005454531582919087,True
2023-03-27,114.05999755859375,355488,0.03128389812123045,True
2023-03-28,109.0,593245,-0.04436259571191359,True
2023-03-29,110.18000030517578,470410,0.010825690873172311,True
2023-03-30,113.27999877929688,751779,0.028135763891221188,True
2023-03-31,111.22000122070312,1575543,-0.018185006892586952,True
2023-04-03,108.05999755859375,603616,-0.028412188701910868,True
2023-04-04,108.44000244140625,292127,0.0035166101369421554,True
2023-04-05,107.83999633789062,202352,-0.0055330698082548535,True
2023-04-06,106.19999694824219,246748,-0.015207709990177398,True
2023-04-11,105.63999938964844,444063,-0.0052730468426159804,True
2023-04-12,108.83999633789062,400404,0.030291527515436067,True
2023-04-13,110.0,285617,0.01065788038533344,True
2023-04-14,110.73999786376953,281607,0.006727253306995751,True
2023-04-17,110.94000244140625,330665,0.0018060735190077448,True
2023-04-18,109.69999694824219,345370,-0.011177262176634395,True
2023-04-19,109.19999694824219,232674,-0.004557885268090867,True
2023-04-20,109.6500015258789,220145,0.004120921155794655,True
2023-04-21,110.80000305175781,216507,0.0104879298666265,True
2023-04-24,110.30000305175781,143665,-0.004512635254770081,True
2023-04-25,111.0,171653,0.00634630035244621,True
2023-04-26,111.94999694824219,220623,0.008558531065244956,True
2023-04-27,114.0,234982,0.018311774074505793,True
2023-04-28,113.30000305175781,277618,-0.006140324107387629,True
2023-05-02,111.75,307006,-0.013680520829727927,True
2023-05-04,112.0,261551,0.0022371364653244186,True
2023-05-05,112.9000015258789,170891,0.008035727909633028,True
2023-05-08,111.80000305175781,186574,-0.009743121871162663,True
2023-05-09,111.8499984741211,99142,0.0004471862343342625,True
2023-05-10,113.0,229192,0.010281640961711691,True
2023-05-11,116.69999694824219,563326,0.0327433358251521,True
2023-05-12,114.8499984741211,340639,-0.015852600878315304,True
2023-05-15,114.4000015258789,217803,-0.0039181275944342175,True
2023-05-16,111.19999694824219,432667,-0.02797206761324067,True
2023-05-17,109.1500015258789,328266,-0.018435211138696728,True
2023-05-18,109.5,168867,0.003206582402457414,True
